Date,Pins,Pinners,Repins,Repins,Impressions,Reach,Clicks,Visitors
2013-12-27,0,0,0,0," "," ",0,0
2013-12-28,0,0,0,0," "," ",0,0
2013-12-29,0,0,0,0," "," ",0,0
2013-12-30,0,0,0,0," "," ",0,0
2013-12-31,0,0,0,0," "," ",0,0
2014-01-01,0,0,0,0," "," ",0,0
2014-01-02,0,0,0,0," "," ",0,0
2014-01-03,0,0,0,0," "," ",0,0
2014-01-04,0,0,0,0," "," ",0,0
2014-01-05,0,0,0,0," "," ",0,0
2014-01-06,0,0,0,0," "," ",0,0
2014-01-07,0,0,2,1," "," ",2,2
2014-01-08,0,0,0,0," "," ",0,0
2014-01-09,0,0,0,0," "," ",0,0
2014-01-10,0,0,0,0," "," ",0,0
